Cents,Name(s),2,3,5,7,11,13,Numerator,Denominator,Tenney Height,Superparticular,Color Notation,FJS name,Tinas,Tredeks,Moria,Quartertones,Edo step 1,Edo step 2,Edo step 3,Edo step 4,Edo step 5,Edo step 6,Edo step 7,Edo step 8
0.00000000,"tonic, unison, perfect prime, unity, prime unity, 0 degree of all edos",0,0,0,0,0,0,1,1,0.00,,"w1, wa unison",P1,0.0,0,0,0,,,,,,,,
0.00890184,supraminor scintillisma,,,,,,,194481,194480,35.14,Yes,,,,,,,,,,,,,,
0.01405217,chalmersia,-6,6,-2,-1,-1,2,123201,123200,33.82,Yes,,,,,,,,,,,,,,
0.01536000,atom comma,161,-84,-12,,,,112703,112702,322.00,Yes,,,,,,,,,,,,,,
0.02271686,,27,-14,-3,2,-1,,6576668672,6576582375,65.23,,,,0.2,-1,,,,,,,,,,
0.02785000,ultimo comma,-2,2,2,-7,4,,62155,62154,43.30,Yes,,,,,,,,,,,,,,
0.04697000,pirate comma,-90,-15,49,,,,73723,73721,227.55,,,,,,,,,,,,,,,
0.06233000,raider comma,71,-99,37,,,,27777,27776,313.82,Yes,,,,,,,,,,,,,,
0.07031000,euzenius comma,3,-13,10,-2,,,98487,98483,52.44,,,,,,,,,,,,,,,
0.07031446,,3,-13,10,-2,0,,78125000,78121827,52.44,,,,0.5,0,,,,,,,,,,
0.07452098,lesser harmonisma,,,,,,,23232,23231,29.01,Yes,,,,,,,,,,,,,,
0.08807438,greater harmonisma,,,,,,,19657,19656,28.53,Yes,,,,,,,,,,,,,,
0.08893000,parimo comma,-1,-11,-1,0,6,,58403,58400,41.51,,,,,,,,,,,,,,,
0.14879000,odiheim comma,-1,2,-4,5,-2,,93085,93077,34.41,,,,,,,,,,,,,,,
0.14879389,odiheim,,,,,,,151263,151250,34.41,,,,,,,,,,,,,,,
0.16259536,harmonisma,,,,,,,10648,10647,26.76,Yes,,,,,,,,,,,,,,
0.16260000,harmonisma,3,-2,0,-1,3,-2,10648,10647,26.76,Yes,,,,,,,,,,,,,,
0.17664752,,-3,4,-2,-2,2,,9801,9800,26.52,Yes,,,1.3,0,,,,,,,,,,
0.17664752,"kalisma, Gauss' comma",,,,,,,9801,9800,26.52,Yes,,,,,,,,,,,,,,
0.17665000,"kalisma, Gauss' comma",-3,4,-2,-2,2,,9801,9800,26.52,Yes,,,,,,,,,,,,,,
0.19639148,,-25,3,9,1,-1,,369140625,369098752,56.92,,,,1.4,1,,,,,,,,,,
0.19936439,,24,-10,-5,0,1,,184549376,184528125,54.92,,,,1.4,-1,,,,,,,,,,
0.21910835,,2,-11,6,3,-2,,21437500,21434787,48.71,,,,1.6,0,,,,,,,,,,
0.23007000,senior comma,-17,62,-35,,,,82779,82768,196.54,,,,,,,,,,,,,,,
0.24543000,gross comma,144,-22,-47,,,,35272,35267,288.00,,,,,,,,,,,,,,,
0.24696198,,0,-9,8,-4,2,,47265625,47258883,50.99,,,,1.8,0,,,,,,,,,,
0.26012000,jacobin comma,9,0,-1,0,-3,1,6656,6655,25.40,Yes,,,,,,,,,,,,,,
0.26012081,jacobin comma,,,,,,,6656,6655,25.40,Yes,,,,,,,,,,,,,,
0.27703000,fortune comma,-107,47,14,,,,181240,181211,214.00,,,,,,,,,,,,,,,
0.29239571,monzisma,,,,,,,450359962737049000,450283905890997000,117.29,,,,,,,,,,,,,,,
0.29240000,monzisma comma,54,-37,2,,,,82899,82885,117.29,,,,,,,,,,,,,,,
0.32544000,landscape comma,-4,6,-6,3,,,106403,106383,35.86,,,,,,,,,,,,,,,
0.32544141,Landscape comma,,,,,,,250047,250000,35.86,,,,,,,,,,,,,,,
