cents,names
0.00000000,tonic, unison, perfect prime, unity, prime unity, 0 degree of all edos
0.00890184,supraminor scintillisma
0.01405217,chalmersia
0.01536000,atom comma
0.02271686,
0.02785000,ultimo comma
0.04697000,pirate comma
0.06233000,raider comma
0.07031000,euzenius comma
0.07031446,
0.07452098,lesser harmonisma
0.08807438,greater harmonisma
0.08893000,parimo comma
0.14879000,odiheim comma
0.14879389,odiheim
0.16259536,harmonisma
0.16260000,harmonisma
0.17664752,
0.17664752,kalisma, Gauss' comma
0.17665000,kalisma, Gauss' comma
0.19639148,
0.19936439,
0.21910835,
0.23007000,senior comma
0.24543000,gross comma
0.24696198,
0.26012000,jacobin comma
0.26012081,jacobin comma
0.27703000,fortune comma
0.29239571,monzisma
0.29240000,monzisma comma
0.32544000,landscape comma
0.32544141,Landscape comma
0.32544141,
0.33765000,akjaysma comma, 5\7 octave comma
0.33936000,egads comma
0.37303901,
0.39575587,ragisma
0.39575587,
0.39576000,ragisma comma
0.39576000,ragisma comma
0.40980804,leprechaun comma
0.40981000,leprechaun comma
0.42271617,tridecimal schisma, Sagittal schismina
0.42272000,schismina, tridecimal schisma, Sagittal schismina
0.46372863,
0.50208893,
0.52183290,
0.52246000,whoosh comma
0.56943000,kwazy comma
0.57240000,lehmerisma comma
0.57240339,Lehmerisma
0.57240339,
0.66012011,
0.69848042,
0.72119728,
0.72119728,Breedsma
0.72120000,breedsma comma
0.72120000,breedsma comma
0.74905000,hemigail comma
0.74905092,hemigail
0.79151174,
0.81486000,astro comma
0.83252420,ibnsinma
0.84142604,xenisma
0.85948450,
0.86182620,ennealimmal comma
0.86183000,ennealimma comma
0.87922846,sesdecal
0.87923000,sesdecal comma
0.88220136,
0.89784481,
0.92056167,
0.96815927,
0.99984643,approximation to 1 cent
1.00917173,lummic comma
1.05587598,
1.05884889,
1.09189000,minortone comma
1.09423629,
1.11695000,wizma comma
1.11695315,wizma
1.18492591,
1.23252351,
1.25524037,
1.29360068,
1.34464787,triaphonisma
1.38131739,
1.38429000,hemithirds comma, lunama, semithirds comma
1.38429030,semithirds comma
1.41897977,cantonisma
1.41898000,cantonisma comma
1.42429794,Eratosthenes' comma
1.43126000,septendecima comma
1.43188789,
1.45163185,
1.45460476,
1.48999216,
1.55796492,
1.58068178,
1.60339864,
1.62827938,
1.62828000,meter comma
1.63125228,
1.65099624,
1.66133000,counterschisma comma
1.68935655,
1.73036901,fairytale comma
1.73037000,fairy tale comma, sinbadma comma
1.75732930,
1.76974000,Sasktel comma
1.77707327,
1.82764376,
1.95372000,schisma comma
1.95372079,schisma
1.95372079,skhisma [Ellis], schisma
1.95372100,schisma, |-15, 8, 1>
1.95400000,schisma (3 to the 8th/2 to the 12th x 5/8)
1.97643765,
2.13036831,
2.15011227,
2.15308518,
2.15309000,vishdel comma
2.17282914,
2.19978943,Nicola
2.19979000,nicola comma
2.20068277,
2.22339964,
2.24612000,tricot comma
2.27916220,
2.30985231,ancient Chinese tempering
2.32675980,
2.34947666,horwell comma
2.34947666,
2.34948000,horwell comma
2.34948000,horwell comma
2.35244956,
2.36238479,Parizek comma, petrma
2.37219352,
2.37643695,squbema
2.42300116,septendecimal bridge comma
2.44016628,
2.47852659,
2.51048074,
2.52315000,vavoom comma
2.52612418,
2.54884105,
2.56289000,island comma
2.56289321,island comma
2.67491807,
2.74523253,
2.77219000,tunbarsma comma
2.81320529,
2.81554699,'19-tone' comma
2.81555000,enneadeca comma, 19-tone-comma
2.83592215,
2.85156559,
2.87428246,
2.92188005,
3.00959677,
3.01256967,
3.03231000,wizardharry, undecimal schisma
3.03231363,undecimal schisma
3.04795708,
3.20896000,swetisma, Swets' comma
3.20896116,Swets' comma
3.20896116,
3.23167802,
3.24732146,
3.33801000,vishnuzma, Vishnu comma, semisuper
3.33801108,Vishnu comma
3.37801873,undevicesimal comma, Boethius' comma
3.38560868,
3.40535264,
3.40832555,
3.44371295,
3.53440257,
3.55711943,
3.58200017,
3.58497307,
3.60471703,
3.61504587,Mercator's comma
3.61505000,Mercator's comma, 53-comma
3.64307733,
3.71105009,
3.73079405,
3.73376696,
3.73376696,Freivald comma
3.73377000,
3.78136000,moctdel comma
3.78136455,moctdel
3.78136455,
3.79187000,wadisma comma
3.79187122,wadisma
3.80408000,garischisma, beta 2, septimal schisma
3.80408142,
3.80408142,Beta 2, septimal schisma
3.93015844,
3.93015844,Werckmeister's undecimal septenarian schisma
3.93016000,werckisma, Werckmeister's undecimal septenarian schisma
3.95287530,
3.98072894,
4.00047290,
4.09275000,cuthbert comma
4.09275380,Cuthbert comma
4.10680596,
4.12654992,
4.12952283,
4.15440356,
4.17712042,
4.19984000,vulture comma
4.30319745,
4.30617035,
4.32591431,
4.39388707,
4.43224737,
4.44444444,
4.46420153,
4.47984497,
4.50256000,keenanisma, undecimal kleisma
4.50256183,
4.50256183,undecimal kleisma, Keemun comma
4.52527870,
4.62863886,
4.66356592,
4.69895332,
4.70192622,
4.72167018,
4.76268000,gentle comma
4.76268264,gentle comma
4.76927000,gammic comma
4.78964294,
4.80231667,Dudon comma
4.82800324,
4.85995740,
4.87560084,
4.89831770,
4.92527800,minthma
4.92528000,minthma comma
4.93933000,ratwolfsma comma
4.93933017,ratwolf comma
4.96629046,
4.98900733,
5.02736763,
5.16268195,
5.18539881,
5.20104225,
5.29173000,parakleisma comma
5.29173187,parakleisma
5.29407358,
5.33508604,marveltwin
5.33509000,marveltwin comma
5.33932947,
5.36204633,porwell comma
5.36204633,
5.36205000,porwell comma
5.36205000,porwell comma
5.38476320,
5.43236079,
5.51084022,
5.53869386,
5.55843782,
5.56141072,
5.57192000,linus comma
5.58115468,
5.59679812,
5.68748774,
5.73508534,
5.75780000,hemifamity, beta 5, garibaldi comma
5.75780220,
5.75780220,Beta 5, Garibaldi comma
5.88387923,
5.90659609,
5.93444973,
5.95419369,
6.00081727,septendecimal minor second comma
6.06052675,
6.08027071,
6.08324000,hemimean, middle second comma
6.08324361,
6.08324361,middle second comma
6.10596048,
6.13084121,
6.15355807,amity
6.15355807,Amity comma, kleisma - schisma
6.15356000,amity comma, kleisma - schisma
6.24424770,
6.25989114,
6.27963510,
6.28260800,
6.33020560,
6.35315960,Tannisma
6.41792232,
6.45628262,
6.47899948,hemimage
6.47899949,
6.47900000,hemimage comma
6.47900000,hemimage comma
6.59456984,stearnsma
6.59457000,stearnsma comma
6.61728670,
6.65564701,myhemiwell
6.65564701,
6.65565000,myhemiwell comma
6.67539097,
6.72299000,mutt comma
6.74336373,
6.77587577,septendecimal kleisma
6.78172403,
6.81367819,
6.81665109,
6.82932163,
6.85203849,
6.87475536,
6.94272811,
6.98108842,
6.99032571,small BP diesis, mirkwai comma
6.99033000,mirkwai, small BP diesis
6.99033000,mirkwai, small BP diesis
7.01304257,
7.05140288,
7.13911960,
7.13911960,neutral third comma, rastma
7.13912000,rastma, neutral third comma
7.20019677,complementary BP diesis
7.20943406,
7.24779436,
7.30171000,kestrel comma
7.30171495,kestrel comma
7.31576712,cataharry comma
7.31576712,
7.31577000,cataharry comma
7.33848398,
7.38608000,dimcomp comma
7.38608158,dimcomp comma
7.38608158,
7.46456101,
7.49241464,
7.51215861,
7.51513151,
7.53487547,
7.53784837,
7.55051891,
7.58544597,
7.59129423,Blume comma
7.64120853,
7.71152000,
7.71152000,septimal kleisma, marvel comma
7.71152299,septimal-kleisma
7.71152299,septimal kleisma
7.71152300,septimal subcomma, marvel comma, |-5, 2, 2, -1>
7.73423986,
7.86031688,
7.88817051,
7.89798000,threedie comma
7.91088738,
7.93063134,
8.03696000,varunisma comma
8.03696440,
8.03696440,varunisma
8.05968127,
8.08456200,
8.10727886,kleisma [Tanaka]
8.10727886,kleisma, semicomma majeur
8.10728000,kleisma, semicomma majeur
8.10728000,kleisma, semicomma majeur
8.13423916,huntma
8.13424000,huntma comma
8.19796848,
8.21361193,
8.23335589,
8.23632879,
8.26366270,spleen comma
8.28392639,
8.30664325,
8.37164310,
8.39435997,orgonisma
8.39436000,orgonisma comma
8.41000341,
8.43272000,gamelisma, gamelan residue
8.43272000,gamelisma, gamelan residue
8.43272027,gamelan residue
8.43272027,
8.50303473,
8.57100749,
8.59372435,
8.60936780,
8.62911176,
8.63208466,
8.67968226,
8.72959656,septendecimal comma
8.76739898,
8.77037188,
8.80575928,
8.82847614,
8.85543644,mynucuma
8.85544000,mynucuma comma
8.88888889,
8.89644890,
8.93480921,
8.96676336,
9.00512367,
9.07309642,
9.09284039,
9.15391755,quince
9.15392000,quince comma
9.16612775,
9.29220477,
9.31492164,
9.33980237,
9.36251923,
9.40087954,
9.44189000,catadictma comma
9.46885230,
9.48859626,
9.49156916,escapade
9.49157000,escapade comma
9.53916676,
9.61764618,
9.66524378,
9.68796000,pentacircle, undecimal semicomma
9.68796064,undecimal semicomma, pentacircle
9.68796064,
9.81403767,
9.84189130,
9.86460817,valinorsma
9.86460817,
9.86461000,valinorsma comma
9.88435213,
9.88732503,
9.93492263,
9.94793547,Hunt 19-cycle comma
10.01340205,
10.06099965,semicomma
10.06099965,semicomma, Fokker's comma
10.06100000,semicomma, Fokker comma
10.06397255,
10.08371651,
10.15168927,
10.19004958,
10.23764717,
10.26036404,
10.27441620,Schulter's comma
10.27442000,buzurgisma comma, dhanvantarisma comma
10.38644106,
10.43701000,aphrowe comma
10.43701156,aphrowe
10.52472828,
10.54744514,
10.56308858,
10.58283254,
10.58580545,
10.61775960,
10.63340304,
10.65611991,
10.72111976,
10.72409267,
10.74680953,
10.78219693,
10.78516983,
10.87288655,
10.92048415,
10.94320101,
10.95884445,
10.98156132,mechanism comma
10.98156132,
11.11984854,
11.24592556,
11.26864242,
11.29352316,
11.31624002,
11.31921292,
11.35239510,Ganassi's comma
11.35460033,
11.42257308,
11.44231704,
11.44528995,Würschmidt's comma
11.44528995,würschmidt-comma
11.44529000,Würschmidt comma
11.44529000,Würschmidt comma
11.49288754,
11.51560441,
11.62193747,
11.64168143,
11.66439829,
11.69225193,
11.81832895,
11.83807291,
11.84104582,
11.88864341,
11.96712284,
11.98090629,29th-partial chroma
12.01472044,
12.01769334,
12.03743730,
12.06439760,Grossma
12.06440000,grossma comma
12.08800780,
12.10541006,
12.14377036,
12.16648723,
12.19136796,
12.21408482,
12.23680169,
12.41344921,
12.43319317,
12.50116593,
12.53952624,
12.57148039,
12.58712383,
12.60984070,
12.63680000,Garibert comma, gassorma comma
12.63680099,Garibert comma
12.67781345,
12.70053032,
12.73591772,
12.73889062,
12.82660734,
12.87420494,
12.87717784,
12.89692180,
12.91256524,
12.93528211,
13.07356932,
13.07356932,Orwell comma
13.07357000,Orwell comma
13.07357000,Orwell comma
13.09628619,
13.13464649,
13.22236321,
13.26996081,
13.27293371,
13.29267767,
13.30832111,
13.33333333,
13.39901000,medium semicomma, sensipent comma 
13.39901073,semisixths
13.39901073,medium semicomma, Sensi comma
13.42172760,
13.44660833,
13.46932519,
13.46932519,small septimal comma
13.46933000,octagar, septimal semicomma
13.57565826,
13.59540222,
13.61811908,
13.64597272,
13.66868958,
13.68843354,
13.79476661,septimal semicomma, Starling comma
13.79476661,small septimal-comma
13.79476700,septimal semicomma, starling comma, |1, 2, -3, 1>
13.79477000,septimal semicomma, starling comma, small septimal comma
13.79477000,septimal semicomma, starling comma, small septimal comma
13.79500000,
13.81748347,
13.84236420,
13.86508107,
13.95577069,
13.97141413,
13.99115809,
13.99413099,
14.01387495,
14.04172859,
14.12020802,
14.16780561,
14.19052000,sensamagic, minor BP diesis
14.19052000,sensamagic, minor BP diesis
14.19052248,minor BP diesis, Sensamagic comma
14.19052248,minor Bohlen-Pierce diesis
14.26084000,quartonic comma
14.36700000,
14.36717000,undecimal seconds comma, biyatisma
14.36717000,biyatisma, undecimal seconds comma
14.36717000,
14.38691396,
14.38988686,
14.43748446,
14.45488672,
14.49324702,
14.51596000,trimyna comma
14.51596000,trimyna comma
14.51596389,trimyna
14.52520118,
14.56356148,
14.58627835,
14.61323864,Secorian
14.61324000,secorian comma
14.65425110,
14.67696797,
14.69261141,
14.72456556,
14.73041383,Hunt flat 2 comma
14.76292587,
14.83089863,
14.85064259,
14.88900289,
15.02729011,
15.05000698,
15.08836728,
15.15868174,
15.17608400,
15.22368160,
15.22665450,
15.24639846,
15.24937136,
15.26204190,
15.35273000,graviton comma, the gravity comma
15.35273152,gravity comma
15.37544839,
15.42304598,
15.42601889,
15.44576285,
15.57183987,
15.59969351,
15.62241037,
15.64215433,
15.74848739,
15.77120426,
15.81880185,
15.90949147,
15.92513492,
15.94487888,
15.94785178,
15.96759574,
15.97056864,
15.99544938,
16.01816624,
16.14424000,mirwomo comma
16.14424000,mirwomo comma
16.14424326,
16.14424326,mirwomo comma
16.16696013,
16.30524735,
16.32089079,
16.34360765,
16.39120525,
16.47892197,
16.51728227,
16.53999913,
16.54434208,vicesimotertial comma
16.56695943,small tridecimal comma
16.56696000,animist, small tridecimal comma
16.60797189,
16.63068876,
16.64633220,
16.66666667,
16.67828635,
16.70100322,
16.71664666,
16.73936352,
16.80436338,
16.82708000,hemimin comma
16.82708024,hemimin
16.87765074,
16.93575501,
16.98967560,tridecimal neutral third comma
17.00372776,
17.02644463,
17.04208807,
17.07404222,
17.11240253,
17.18037529,
17.20011925,
17.20309215,
17.32916917,
17.37676677,
17.37973967,
17.39900000,
17.39948000,ptolemisma, Ptolemy's comma
17.39948363,
17.39948363,Ptolemy's comma
17.39948400,Ptolemy's comma
17.50581670,
17.52556066,
17.57600000,
17.57613000,mothwellsma, small undecimal comma
17.57613100,Mothwellsma
17.57613116,small undecimal comma
17.57613116,
17.59884802,misty
17.59884802,Misty comma, diaschisma - schisma
17.59885000,misty comma, diaschisma - schisma
17.59885000,misty comma, diaschisma - schisma
17.64644562,
17.72492504,
17.77252264,
17.77549554,
17.77777778,
17.79523950,
17.86321226,
17.90157257,
17.92131653,
17.92428943,
17.94917016,
17.97188703,
18.09796405,
18.12068092,
18.12827087,19th-partial chroma
18.16827851,ditonma
18.16828000,ditonma comma
18.17125141,
18.25896813,
18.27461158,
18.29732844,
18.32004530,
18.36764290,
18.45833252,
18.49371992,
18.49669283,
18.58440954,
18.63200714,
18.65472400,
18.67036745,
18.69308431,
18.76105707,
18.83137153,
18.95744855,
18.98016541,
18.99580886,
19.02776301,
19.03073591,
19.05047987,
19.06612332,
19.08884018,
19.12985000,superleap, medium tridecimal comma
19.12985264,medium tridecimal comma, superleap
19.15681294,
19.17952980,
19.22712740,
19.30560683,
19.33346046,
19.35320442,
19.37592129,
19.52985195,
19.55256881,diaschisma
19.55256881,diaschisma [Ellis], diminished comma [Rameau]
19.55256900,Diaschisma, |11, -4, -2>
19.55257000,
19.55257000,
19.55257000,diaschisma
19.55257000,diaschisma
19.67864583,
19.72624343,
19.72921633,
19.74896029,
19.75193320,
19.77167716,
19.79953079,
19.81693305,
19.84496000,41-comma
19.84496452,'41-tone' comma
19.87503732,
19.87801022,
19.92560782,
19.94832000,tolerma comma
19.94832468,tolerma
19.94832468,
20.01629744,
20.05465774,
20.07440170,
20.12497220,
20.21268892,
20.25104923,
20.27376609,
20.32136369,
20.41205331,
20.44744071,
20.45041361,
20.47313048,
20.52072807,
20.53813033,
20.58572793,
20.60844479,
20.64680510,
20.78509000,nuwell comma
20.78509000,nuwell comma
20.78509232,nuwell comma
20.78509232,
20.80780918,
20.84616948,
20.93388620,
20.98148380,
20.98445670,
21.00420066,
21.01984410,
21.04256097,
21.11053373,
21.13325059,
21.18084819,major BP diesis
21.18084819,
21.18085000,gariboh, major BP diesis
21.18085000,gariboh, major BP diesis
21.18382109,
21.24192535,
21.25932761,
21.28718125,
21.30692521,
21.30989811,
21.32964000,cassacot comma
21.32964207,
21.32964207,Nautilus comma
21.38021257,
21.50600000,syntonic comma
21.50628600,Meantone comma, Syntonic comma, Didymus comma
21.50628960,syntonic comma, Didymus comma
21.50628960,5-limit JI syntonic-comma = comma of Didymus
21.50629000,syntonic comma, Didymos comma, meantone comma
21.50629000,syntonic comma, Didymos comma, meantone comma
21.52900646,
21.57660406,
21.68293712,
21.70268108,
21.70565398,
21.72539794,
21.75325158,
21.81818180,(diminished-2nd)
21.83173101,
21.87932860,
21.90204547,keema
21.90204547,
21.90205000,keema comma
21.90205000,keema comma
21.97001823,
22.00837853,
22.02812249,
22.06304955,
22.07869299,
22.10140985,
22.12115382,
22.22222222,
22.22748688,Squalentine
22.22748688,
22.22749000,squalentine comma
22.22749000,squalentine comma
22.27508447,
22.29780134,
22.33881000,tridecimal minor third comma, negustma comma
22.33881380,tridecimal minor third comma
22.36577410,
22.38849096,
22.40413440,
22.41337000,blackjackisma comma
22.41337169,Blackjack comma
22.42685126,
22.47444886,
22.56216558,
22.56513848,
22.60052589,
22.63083270,approximation to 53-tone comma
22.64150943,(pythagorean-comma = ~531441:524288 [ 3^12]; syntonic-comma = ~81:80, diaschisma = ~25048:2025)
22.73881310,
22.76152997,
22.78424683,
22.79989027,
22.83184443,
22.87020473,
22.88760699,
22.93817749,
22.95792145,
22.96089435,
22.99628176,
23.08697138,
23.10968824,
23.13456897,
23.13754188,
23.15728584,
23.19564614,
23.26361890,
23.28336286,
23.33393336,
23.46000000,Pythagorean comma (3 to the 12th/2 to the 19th)
23.46001000,Pythagorean comma, ditonic comma
23.46001000,Pythagorean comma, ditonic comma
23.46001000,Pythagorean comma, Ditonic comma, |-19, 12>
23.46001038,3-limit pythagorean augmented-7th [ 3^12] = pythagorean-comma
23.46001038,Pythagorean comma, ditonic comma
23.48272725,
23.53032484,
23.53329775,
23.55304171,
23.55456810,approximation to Pythagorean comma
23.65640187,
23.65937000,sevnothrush comma
23.65937477,
23.67911873,
23.68209163,
23.70697237,
23.72968923,
23.85576626,
23.85873916,
23.87848312,
24.00000000,
24.01677034,
24.03241378,
24.05513000,sensmus comma
24.05513064,
24.05513064,sensmus
24.07487460,
24.18120767,
24.25152213,
24.25449503,
24.31949488,
24.34221175,
24.35785519,
24.38057205,
24.41252621,
24.42816965,
24.45088651,
24.51885927,
24.62753404,Triple BP comma
24.71525075,
24.73796762,
24.75361106,
24.78556521,
24.82392552,
24.89189828,
24.91164224,
24.91461514,
24.95000254,
25.04069217,
25.06340903,
25.08828976,
25.09126266,
25.11100663,
25.11397953,
25.13372349,
25.14936693,
25.28765415,
25.31037101,
25.43644804,
25.45916490,
25.48701854,
25.50676250,
25.61309556,
25.63283952,
25.63581242,
25.66069316,
25.68341002,
25.70612688,roda
25.80948704,
25.81245995,
25.83220391,
25.88277441,
25.90017666,
25.97049112,
26.00885143,
26.03156829,
26.07916589,
26.08695650,
26.16985551,
26.20524291,
26.20821582,
26.22795978,
26.29593254,
26.33429284,
26.36624700,
26.38189044,
26.40460730,
26.43156760,Winmeanma
26.43156800,Winmeanma
26.47258006,
26.56561138,
26.60397169,
26.66666667,
26.66897154,
26.69168841,
26.76200287,
26.80036317,
26.84100000,65th harmonic
26.84137563,13th-partial chroma
26.84137600,Wilsorma, 13th-partial chroma
26.84138000,13th-partial chroma
26.86833593,
26.89105279,
26.93865039,
27.01712982,
27.04498345,
27.06472741,
27.06770032,
27.08744428,
27.10308772,
27.19377734,
27.24137494,
27.26400000,
27.26409000,
27.26409000,septimal comma, Archytas' comma ("Leipziger Komma")
27.26409000,septimal comma, Archytas' comma ("Leipziger Komma")
27.26409180,septimal-comma, archytas-comma
27.26409180,septimal comma, Archytas' comma
27.26409200,Septimal comma, Archytas' comma
27.33440626,
27.39016882,
27.41288569,
27.44073932,
27.46048328,
27.46345619,
27.48320015,
27.58953321,
27.61225007,
27.63713081,
27.65984767,minimal-diesis
27.65984767,minimal diesis
27.65985000,minimal diesis, tetracot
27.65985000,minimal diesis, tetracot comma
27.70000000,
27.76618073,
27.78592469,
27.83649519,
27.92421191,
27.96257222,
27.98528908,
27.98528908,senga
27.98529000,senga comma
27.98529000,senga comma
28.12357630,
28.14629316,
28.15896370,
28.16193660,
28.18168057,
28.18465347,
28.23225106,
28.31996778,
28.32294069,
28.35832809,
28.38104495,
28.44901771,
28.48737802,
28.51933217,
28.55769248,
28.64540919,
28.71572365,
28.75408396,
28.82205672,
28.84477358,
28.86749044,
28.89237118,
28.91508804,
28.95344835,
28.97085060,
29.02142110,
29.04116506,
29.09173556,
29.21781259,
29.24052945,
29.26829270,(~pythagorean augmented-7th)
29.36660648,
29.39446011,
29.41420407,
29.41717697,
29.43692094,
29.54325400,
29.56597086,
29.59085160,
29.61356800,Magic comma, small diesis, |-10, -1, 5>
29.61356846,small diesis, magic comma
29.61356846,magic-comma, small diesis [Ellis]
29.61357000,small diesis, magic comma
29.61357000,small diesis, magic comma
29.61357000,small diesis, magic comma
29.61654136,
29.63628532,
29.70425808,
29.72400000,thuja comma
29.73964548,
29.74261839,
29.79021598,
29.81293285,
29.93900987,
30.00932433,
30.07729709,
30.10001395,
30.10900000,
30.11565739,
30.13540135,
30.13837426,
30.18597185,
30.27368857,
30.27666147,
30.31204888,
30.33476574,
30.40273850,
30.44109880,
30.47305296,
30.49576982,
30.51141326,
30.53413013,
30.64200000,
30.64211053,Hendrix comma
30.66944444,
30.67241734,
30.70780475,
30.79849437,
30.82121123,
30.84609197,
30.86880883,
30.90716913,
30.97514189,
30.99488585,
30.99785876,
31.04545635,
31.11111111,
31.17153338,
31.19400000,Ptolemy's enharmonic
31.19425024,undecimal diesis, konbini comma
31.19425024,
31.21696710,
31.24482074,
31.26456470,
31.30292500,
31.37089776,
31.39064172,
31.39361463,
31.44121222,
31.51969165,
31.56728925,Ampersand's comma
31.56728925,ampersand-comma
31.56729000,ampersand comma, Ampersand's comma
31.56729000,ampersand comma, Ampersand's comma
31.56729000,ampersand comma, Ampersand's comma
31.57026215,
31.59000611,
31.65797887,
31.69633917,
31.74393677,
31.76665000,
31.76665363,
31.76665363,telepathma
31.76700000,
31.89273066,
31.96304512,
31.96601802,
31.98576198,
32.05373474,
32.09209504,
32.12404920,
32.13969264,
32.16240950,
32.23038226,
32.25309913,
32.28848653,
32.29145943,
32.42677375,
32.44949061,
32.46513405,
32.48785091,
32.62613813,
32.64885500,
